codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
10901;S10901 - REGIONAL SUL - HAVAN - 0115 - ITAQUAQUECETUBA - MANDI - SP;;ESTRADA MUNICIPAL DO MANDI, 1205;MANDI;ITAQUAQUECETUBA;SP;8598000;-234.742;-4.632.592;2026-02-09 21:05:02.780508+00;HAVAN
41361;S41361 - COLOMBO - AVENIDA DORIVAL CANDIDO LUZ DE OLIVEIRA - 5479 - GRAVATAI - RS;;AVENIDA DORIVAL CANDIDO LUZ DE OLIVEIRA, 5479;SAO VICENTE;GRAVATAI;RS;94060001;-2.993.422;-5.104.926;2026-02-09 21:05:01.947218+00;COLOMBO
4090;S04090 - HAVAN - AVENIDA JOAQUIM CONSTANTINO - 1000 - PRESIDENTE PRUDENTE - SP;;AVENIDA JOAQUIM CONSTANTINO, 1000;VILA FORMOSA;PRESIDENTE PRUDENTE;SP;19050220;-2.214.523;-5.139.872;2026-02-09 21:05:01.598207+00;HAVAN
2867;S02867 - CLIMA RIO - RUA BRIGADEIRO JORDAO - 346 - SAO PAULO - SP;;Rua Brigadeiro Jordao, 346;IPIRANGA;SAO PAULO;SP;4210000;-2.358.675;-4.660.566;2026-02-09 21:05:01.598207+00;CLIMA RIO
12426;S12426 - COLOMBO - AVENIDA PRESIDENTE VARGAS - 2593 - ALVORADA - RS;;AVENIDA PRESIDENTE VARGAS, 2593;BELA VISTA;ALVORADA;RS;94810002;-2.999.777;-51.074;2026-02-09 21:05:02.063994+00;COLOMBO
87949;S87949 - COLOMBO - RUA DR. VALDIR COTRIN - 215 - LAURO MULLER - SC;;RUA DR. VALDIR COTRIN, 215;;LAURO MULLER;SC;88880000;-2.839.353;-4.939.862;2026-02-09 21:05:01.598207+00;COLOMBO
88325;S88325 - COLOMBO - RUA CORONEL MUSSNICH - 36 - ESTRELA - RS;;RUA CORONEL MUSSNICH, 36;;ESTRELA;RS;95880000;-2.949.772;-5.196.355;2026-02-09 21:05:01.598207+00;COLOMBO
35981;S35981 - COLOMBO - AVENIDA FERNANDES BASTOS - 626 - TRAMANDAI - RS;;AVENIDA FERNANDES BASTOS, 626;;TRAMANDAI;RS;95590000;-2.998.685;-5.013.865;2026-02-09 21:05:01.947218+00;COLOMBO
80855;S80855 - COLOMBO - RUA PROF DUILIO CALDERARI - 1844 - CAMPINA GRANDE DO SUL - PR;;RUA PROFESSOR DUILIO CALDERARI, 1844, TERREOSALA 01;;CAMPINA GRANDE DO SUL;PR;83430000;-2.536.396;-4.910.029;2026-02-09 21:05:02.694969+00;COLOMBO
70973;S34403 - COLOMBO - PRACA BOM JESUS - 309 - PALMAS - PR;;PRACA BOM JESUS, 309;;PALMAS;PR;85555000;-264.834.609;-519.933.849;2026-02-09 21:05:02.576155+00;COLOMBO
58680;S58680 - COLOMBO - AVENIDA SANTO ANGELO - 230 - GIRUA - RS;;AVENIDA SANTO ANGELO, 230;;GIRUA;RS;98870000;-2.802.765;-5.435.087;2026-02-09 21:05:01.947218+00;COLOMBO
11037;S11037 - HAVAN - RODOVIA BR 364 - SN - RIO BRANCO - AC;;RODOVIA BR 364, SN;PORTAL DA AMAZONIA;RIO BRANCO;AC;69915630;-99.721.903;-678.515.238;2026-02-09 21:05:02.239959+00;HAVAN
84419;S84419 - COLOMBO - AV 14 DE DEZEMBRO - 355 - NOVA ESPERANCA - PR;;AVENIDA 14 DE DEZEMBRO, 355;;NOVA ESPERANCA;PR;87600000;-2.318.519;-522.032;2026-02-09 21:05:02.694969+00;COLOMBO
1630;S01630 - UNIAR - AVENIDA DR BERNARDINO DE CAMPOS - 98 - SANTOS - SP;;Avenida Dr Bernardino De Campos, 98, Vila Belmiro, Santos;VILA BELMIRO;SANTOS;SP;11075355;-2.395.141;-4.633.719;2026-02-09 21:05:01.598207+00;POLOAR
1867;S01867 - FRIGELAR - ALAMEDA GLETE - 798 - SAO PAULO - SP;;Alameda Glete, 798;CAMPOS ELISEOS;SAO PAULO;SP;1215000;-2.353.613;-4.664.845;2026-02-09 21:05:02.239959+00;FRIGELAR
80189;S80189 - COLOMBO - AVENIDA GIACOMO CARNIEL - 347 - CIDREIRA - RS;;AVENIDA GIACOMO CARNIEL, 347;;CIDREIRA;RS;95595000;-3.017.391;-5.020.428;2026-02-09 21:05:02.063994+00;COLOMBO
