código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
10901;10901 - REGIONAL SUL - HAVAN - 0115 - ITAQUAQUECETUBA - MANDI - SP;7,94E+13;1;;MANDI;ITAQUAQUECETUBA;SP;8598000;-234.742;-4.632.592;2026-02-09 21:05:02.780508+00;HAVAN
41361;41361 - COLOMBO - AVENIDA DORIVAL CANDIDO LUZ DE OLIVEIRA - 5479 - GRAVATAI - RS;8,98E+13;1;;SAO VICENTE;GRAVATAI;RS;94060001;-2.993.422;-5.104.926;2026-02-09 21:05:01.947218+00;COLOMBO
4090;04090 - HAVAN - AVENIDA JOAQUIM CONSTANTINO - 1000 - PRESIDENTE PRUDENTE - SP;7,94E+13;1;;VILA FORMOSA;PRESIDENTE PRUDENTE;SP;19050220;-2.214.523;-5.139.872;2026-02-09 21:05:01.598207+00;HAVAN
2867;02867 - CLIMA RIO - RUA BRIGADEIRO JORDAO - 346 - SAO PAULO - SP;8,82E+12;1;;IPIRANGA;SAO PAULO;SP;4210000;-2.358.675;-4.660.566;2026-02-09 21:05:01.598207+00;CLIMA RIO
12426;12426 - COLOMBO - AVENIDA PRESIDENTE VARGAS - 2593 - ALVORADA - RS;8,98E+13;1;;BELA VISTA;ALVORADA;RS;94810002;-2.999.777;-51.074;2026-02-09 21:05:02.063994+00;COLOMBO
87949;87949 - COLOMBO - RUA DR. VALDIR COTRIN - 215 - LAURO MULLER - SC;8,98E+13;1;;;LAURO MULLER;SC;88880000;-2.839.353;-4.939.862;2026-02-09 21:05:01.598207+00;COLOMBO
88325;88325 - COLOMBO - RUA CORONEL MUSSNICH - 36 - ESTRELA - RS;8,98E+13;1;;;ESTRELA;RS;95880000;-2.949.772;-5.196.355;2026-02-09 21:05:01.598207+00;COLOMBO
35981;35981 - COLOMBO - AVENIDA FERNANDES BASTOS - 626 - TRAMANDAI - RS;8,98E+13;1;;;TRAMANDAI;RS;95590000;-2.998.685;-5.013.865;2026-02-09 21:05:01.947218+00;COLOMBO
80855;80855 - COLOMBO - RUA PROF DUILIO CALDERARI - 1844 - CAMPINA GRANDE DO SUL - PR;8,98E+13;1;;;CAMPINA GRANDE DO SUL;PR;83430000;-2.536.396;-4.910.029;2026-02-09 21:05:02.694969+00;COLOMBO
70973;70973 - COLOMBO - RUA DOUTOR BERNARDO RIBEIRO VIANA - 903 - PALMAS - PR;8,98E+13;1;;;PALMAS;PR;85555000;-2.648.188;-5.199.897;2026-02-09 21:05:02.576155+00;COLOMBO
58680;58680 - COLOMBO - AVENIDA SANTO ANGELO - 230 - GIRUA - RS;8,98E+13;1;;;GIRUA;RS;98870000;-2.802.765;-5.435.087;2026-02-09 21:05:01.947218+00;COLOMBO
11037;11037 - HAVAN - RODOVIA BR 364 - SN - RIO BRANCO - AC;7,94E+13;1;;PORTAL DA AMAZONIA;RIO BRANCO;AC;69915630;-99.721.903;-678.515.238;2026-02-09 21:05:02.239959+00;HAVAN
84419;84419 - COLOMBO - AV 14 DE DEZEMBRO - 355 - NOVA ESPERANCA - PR;8,98E+13;1;;;NOVA ESPERANCA;PR;87600000;-2.318.519;-522.032;2026-02-09 21:05:02.694969+00;COLOMBO
1630;01630 - UNIAR - AVENIDA DR BERNARDINO DE CAMPOS - 98 - SANTOS - SP;1,89E+13;1;;VILA BELMIRO;SANTOS;SP;11075355;-2.395.141;-4.633.719;2026-02-09 21:05:01.598207+00;POLOAR
